en;jp
Entities;設置物
Tiles;タイル
Modules;モジュール
Train fuel;列車燃料
Include trains in the blueprint;建設計画に列車を含める
Blueprint hasn't yet finished downloading from the library;ライブラリからの建設計画のダウンロードが完了していません
Cannot transfer blueprint: player offline;建設計画を転送できません : プレイヤーはオフラインです
Player's blueprint storage not ready yet;プレイヤーの建設計画ストレージは準備中です。
Map exchange string;マップコード
Sync mods with save;MODとセーブを同期
Loading multiplayer map;マルチプレイヤーマップを読み込んでいます
Saving the map;マップを保存しています
Converting map __1__;マップ__1__を変換しています
Loading new map;新しいマップを読み込んでいます
Generating new map;新しい地図を生成中
Set;設定
Select a signal;シグナルを選択
Or set a constant;もしくは一定値
Constant number;定数
Preparing;準備中
Launch;打ち上げ
Launched;打ち上げ完了
Rocket cargo;ロケット貨物
You are expected to put the satellite here.;人工衛星をここに設置して下さい。
Results from launching the rocket;ロケット打ち上げによる成果
Search (__1__);検索 (__1__)
Search;検索
Any;任意
Yes;はい
No;いいえ
Log in;ログイン
Confirm;確認
Reset filters;フィルターをリセットします
All;全て
Enable logistics while moving;移動中の補給を有効にする
Grid;グリッド
Mining fluid;採掘液
Transferring;転送中
Queued for transfer;転送待機中
Mod with this campaign is not available.;このキャンペーンの mod は使用できません。
No recipe available;利用可能なレシピがありません。
No recipes found;レシピが見つかりません。
No tips and tricks found;ヒントが見つかりませんでした
On;オン
Off;オフ
Edit label, description and icons.;ラベル、説明、アイコンを編集します。
Mods have been removed or mod settings have changed. Are you sure you want to continue loading this save?;Modが削除されたか、Modの設定が変更されました。この保存を読み込み続けてもよろしいですか？
Sync mods and load;MODを同期してロードする
Logistic requests disabled;物流要求は無効になっています
Not in logistic network;物流ネットワーク範囲内にいません
Confirm (__CONTROL__confirm-gui__);確認 (__CONTROL__confirm-gui__)
Close (__CONTROL__confirm-gui__ or __CONTROL__toggle-menu__);閉じる (__CONTROL__confirm-gui__または__CONTROL__toggle-menu__)
Cancel (__CONTROL__toggle-menu__);キャンセル (__CONTROL__toggle-menu__)
Space usage: __1__ MB / __2__ MB;スペース使用量: __1__ MB / __2__ MB
See the map for more details.;マップを見て詳細を確認してください!
__1__ __plural_for_parameter_1_{1=turret is|rest=turrets are}__ engaged with the enemy.;__1__基のタレットが敵と交戦中です。
__1__ __plural_for_parameter_1_{1=entity is|rest=entities are}__ being damaged.;__1____plural_for_parameter_1_{1,2,3,4,5,6,7,8,9=つ|rest=個}__のエンティティがダメージを受けています。
__1__ __plural_for_parameter_1_{1=entity is|rest=entities are}__ destroyed.;__1____plural_for_parameter_1_{1,2,3,4,5,6,7,8,9=つ|rest=個}__のエンティティが破壊されました。
__1__ __plural_for_parameter_1_{1=entity is|rest=entities are}__ missing repair packs.;__1____plural_for_parameter_1_{1,2,3,4,5,6,7,8,9=つ|rest=個}__のエンティティを修理するためのリペアキットが不足しています。
__1__ __plural_for_parameter_1_{1=entity is|rest=entities are}__ missing construction robots.;__1____plural_for_parameter_1_{1,2,3,4,5,6,7,8,9=つ|rest=個}__のエンティティを建設するための建設ロボットが不足しています。
__1__ __plural_for_parameter_1_{1=entity is|rest=entities are}__ missing the material for construction.;__1____plural_for_parameter_1_{1,2,3,4,5,6,7,8,9=つ|rest=個}__のエンティティを建設するための資材が不足しています。
Not enough logistic network storage space available.;貯蔵チェストの空き容量が不足しています。
Train out of fuel.;列車が燃料切れです。
Info;詳細
Logistic filter;物流フィルター
Set request;要求をセット
Request from buffer chests;バッファーチェストから取り寄せる
Auto-trash;自動ゴミ
Members;構成
Network;ネットワーク
cell;セル
cells;セル
Count;数量
Personal logistics and auto-trash;個人物流・廃棄
Personal logistics;個人物流
Request for this item already exists;このアイテムは既に要求しています
Auto-trash filters;自動廃棄フィルター
Trash slots are full.;廃棄スロットが一杯です。
Maximum amount. Items over this will automatically move into the trash slots.;最大量。この量を越えたアイテムは自動で廃棄スロットに移動されます。
Requested amount. Logistic robots will try to satisfy it from the network.;要求量。物流ロボットはネットワークを使ってこの量を満たそうとします。
inf.;∞
Crafting queue;クラフト中のアイテム
Personal roboport;個人用ロボットステーション
Exoskeleton;強化外骨格
Turning off personal logistics will stop logistic robots from bringing requested items. It will also stop items from automatically being moved to the trash slots. Logistic robots will continue to empty the trash slots.;個人用物流をオフにすると、要求したアイテムを物流ロボットが持ってこないようになります。アイテムを自動で廃棄スロットに移動することもなくなります。物流ロボットが廃棄スロットを空にしようとする動作は継続されます。
Keep at least this percentage of fluid in the pipe - add missing.;不足分を追加し、最低でもこの割合の流体をパイプに保持するようにします。
Keep at most this percentage of fluid in the pipe - remove extra.;過剰分を除去し、最高でもこの割合の流体をパイプに保持するようにします。
Keep exactly this percentage of fluid in the pipe - add or remove as needed.;必要に応じて追加・除去を行い、この割合ちょうどの流体をパイプに保持するようにします。
Add this percentage of fluid to the pipe on every tick.;Tick毎にパイプに追加される流体の割合。
Remove this percentage of fluid from the pipe on every tick.;Tick毎にパイプから削除される流体の割合。
At least;最小
At most;最大
Exactly;丁度
Add;追加
__1__ to remove.;__1__ で解体する。
Remove unfiltered items;フィルタリングされていないアイテムを削除
Remove items from the inventory that aren't part of the filters list.;フィルタリングされていないアイテムをインベントリから削除
Flush __1__ from this.;ここの __1__ を捨てる。
Flush __1__ from entire fluid system.;流体システム全体の __1__ を捨てる。
__1__ contents:;__1__ の中身 :
Fluid system contents:;流体システムの中身 :
Schedule;時刻表
+ Add wait condition;+ 発車条件を追加
Time passed;経過した時間
Full cargo;貨物車両が満杯
Empty cargo;貨物車両が空
Robots inactive;ロボットが非動作中
Item count;貨物アイテム数
Circuit condition;回路による
Inactivity;非アクティブ
Fluid count;流体量
Automatic;自動
Toggle stop names;駅名表示を切り替え
Toggle centering on locomotive;機関車を中心に表示
Open this location in the map;マップでこの場所を開く
passed;経過
Cargo;貨物
Circuit;回路
of inactivity;間の非アクティブ
Locomotive doesn't need energy.;機関車は燃料を必要としません。
Locomotive is out of reach.;機関車に手が届きません。
Temporary: __1__;臨時駅: __1__
Adding temporary;臨時駅を追加
Invalid;不正
No stops with this name exist.;この名前の駅は存在しません。
__plural_for_parameter_1_{1=Stop is|2=Both stops are|rest=All __1__ stops are}__ disabled.;__plural_for_parameter_1_{1=駅|2=両方の駅|rest=全ての __1__ 駅}__ が無効です。
__plural_for_parameter_1_{0=No stop is accessible|1=Stop is inaccessible|2=Both stops are inaccessible|rest=All __1__ stops are inaccessible}__ from current position.;この場所からは__plural_for_parameter_1_{0=到達できる駅がありません|1=その駅に到達できません|2=2つの駅に到達できません|rest=__1__個の駅に到達できません}__。
Only __1__ out of __2__ stops __plural_for_parameter_1_{1=is|rest=are}__ accessible.;__2__のうち__1__の駅__plural_for_parameter_1_{1=のみ|rest=のみ}__到達可能。
No rail nearby;付近に線路なし
No path to destination;目的地への経路がありません
Interaction;__CONTROL_STYLE_BEGIN____1__ + __CONTROL_STYLE_END____CONTROL_LEFT_CLICK__ で臨時駅の挿入。 __CONTROL_STYLE_BEGIN____2__ + __CONTROL_STYLE_END____CONTROL_LEFT_CLICK__ で選択した駅を時刻表に追加。
Trains with this stop: __1__;この駅に停車する列車
The number of stops with this name.;同名駅の数。
Rename stop;駅の名前を変更
Enable train limit;列車数上限を有効にする
__1__ __plural_for_parameter_1_{1=second|rest=seconds}__ passed;__1__ __plural_for_parameter_1_{1=秒|rest=秒}__ 経過
Full cargo inventory;貨物車両が満杯
Empty cargo inventory;貨物車両が空
No robots are deployed;ロボットが配置されていない
Cargo: __1__ __2__ __3__;貨物:__1__ __2__ __3__
Circuit: __1__ __2__ __3__;回路:__1__ __2__ __3__
__1__ __plural_for_parameter_1_{1=second|rest=seconds}__ of inactivity;__1__ __plural_for_parameter_1_{1=秒|rest=秒}__間の非アクティブ
Fluid: __1__ __2__ __3__;流体: __1__ __2__ __3__
Passenger present;乗客あり
Passenger not present;乗客なし
Apply change;変更を適用
Entity filter mode;エンティティ フィルターモード
Tile filter mode;舗装 フィルターモード
Tile selection mode;舗装選択モード
Entity filters;エンティティ フィルター
Tile filters;舗装フィルター
Only select filtered items when selecting an area for deconstruction.;フィルターされたアイテムのみ解体プランナーによって選択されます。
Blacklist;ブラックリスト
Ignore all filtered items when selecting an area for deconstruction.;フィルターされたアイテム以外が解体プランナーによって選択されます。
Trees/rocks only;木と岩のみ
Only trees/rocks;木・岩のみ
Ignore trees/rocks;木・岩以外
Installed;元
New version;新しいバージョン
Only;舗装のみ
Normal: tiles are selected when no entities are found.;通常： 施設を選択していない場合に舗装が選択されます。
Always: tiles are always selected even when entities are found.;常に： 施設を選択している場合でも舗装を選択します。
Never: tiles are never selected.;選択しない： 舗装を選択しません。
Only: only tiles are selected.;制限：タイルのみが選択されています。
Effects;効果又は製作可能になるアイテム
Resume;再開
(Map editor) __CONTROL_LEFT_CLICK__ to research. __CONTROL_KEY_SHIFT____CONTROL_STYLE_BEGIN__ + __CONTROL_STYLE_END____CONTROL_LEFT_CLICK__ to instant research with all prerequisites.;（マップエディタ） __CONTROL_LEFT_CLICK__ で研究。 __CONTROL_KEY_SHIFT____CONTROL_STYLE_BEGIN__ + __CONTROL_STYLE_END____CONTROL_LEFT_CLICK__ ですべての前提テクノロジーを研究。
Un-research;未研究にする
(Map editor) Un-research technology;(マップエディタ)技術を未研究にする
(Map editor) Technology not researched;(マップエディタ)未研究の技術
(__1__);(__1__)
Cost;コスト
Time needed to research one unit in the lab;研究所で1単位研究するのに必要な時間
Researched;研究済み
Available;研究可能
Disabled;未知
Unavailable;研究不可能
Researching;研究中
Queued;研究予約済み
Technology is already researched;この技術は研究済みです。
Technology is already queued;この技術は研究予約済みです。
Technology is already being researched;この技術は研究開始済みです。
All levels for this technology are already researched or queued;このレベルの技術は全て研究済みまたは研究予約済みです。
Research queue full;研究予約が一杯です。
Some prerequisite technologies are not researched;前提技術が不足しています
Some prerequisite technologies are not researched, and are not queued for research;前提技術が不足しているか、研究予約されていません
Robots;ロボット類
Repair packs;リペアキット
Buffer size;バッファサイズ
Power production;発電量
Power usage;電力使用量
Game blueprints;ゲームの建設計画
__1__ - blueprint storage;__1__ - 建設計画ストレージ
Unknown player storage;不明なプレーヤーのストレージ
Blueprint book;建設計画の本
Blueprint book edit;建設計画の本の作成
Deconstruction tool edit;解体プランナーの編集
Upgrade tool edit;アップグレードプランナーの編集
Loading blueprint storage failed: __1__. Backing up current storage to __2__.;ストレージ__1__のロードができませんでした。現在のストレージは__2__にバックアップします。
Loading blueprint storage from cloud failed. Local version of the storage is being loaded instead.;クラウドから建設計画ストレージをロードできませんでした。 ローカルバージョンのストレージが代わりにロードされています。
Saving blueprint storage to cloud failed. You may have run out of space available for Cloud Sync. To prevent losing your blueprint library, please back up the file __1__.;クラウドへ建設計画ストレージのセーブに失敗しました。 クラウド同期に使用可能な容量が不足している可能性があります。建設計画のライブラリの損失を防ぐため、ファイル__1__をバックアップしてください。
Drop blueprint;建設計画をドロップ
Shared blueprints;共有された建設計画
My blueprints;自分の建設計画
Filter:;フィルタ:
New __1__;新しい __1__
Import string;コードをインポート
Blueprint string;建設計画のコード
Blueprint book string;建設計画の本のコード
Deconstruction item string;解体プランナーのコード
Upgrade item string;アップグレードのコード
Blueprint not available yet;建設計画はまだ使用できません。
Transfer progress;転送中
Synchronizing...;同期しています...
Cannot manipulate shelf that is not synchronized yet.;まだ同期されていないためライブラリを操作できません。
List view;リスト表示
Grid view;グリッド表示
[img=utility/warning_icon] [color=red]Blueprint library is not synchronized.[/color];[img=utility/warning_icon] [color=red]建設計画ライブラリが同期されていません。[/color]
Blueprints;建設計画
Use __CONTROL__cycle-blueprint-forwards__ and __CONTROL__cycle-blueprint-backwards__ to change active blueprint.;アクティブな建設計画を変更するには __CONTROL__cycle-blueprint-forwards__ と __CONTROL__cycle-blueprint-backwards__ を使ってください。
Use __CONTROL_STYLE_BEGIN____1__Mouse wheel__CONTROL_STYLE_END__ to change active blueprint.;__CONTROL_STYLE_BEGIN____1__マウスホイール__CONTROL_STYLE_END__でアクティブな建設計画を変更します。
Are you sure you want to delete the blueprint book?;本当に建設計画の本を削除しますか？
Delete book;本を削除
Unnamed blueprint book;名無しの建設計画の本
Default Upgrade;デフォルトのアップグレード
__CONTROL_LEFT_CLICK__ to apply as upgrade, __CONTROL_RIGHT_CLICK__ to apply as downgrade.;__CONTROL_LEFT_CLICK__ でアップグレード、 __CONTROL_RIGHT_CLICK__ でダウングレード。
Save label;ラベルを保存
Edit label;ラベルを編集
Edit description;説明を編集
Save description;説明を保存
Correct:;一致:
Not on mod portal:;MODポータルにない:
Selected mod has no released version;リリース無し:
No compatible version:;バージョンの互換性なし:
Ready to download:;ダウンロード可能:
Wrong version enabled:;間違ったバージョンが有効になっています:
Enable;有効にする
Download;ダウンロード
Keep enabled;有効状態を維持
Enable correct version;正しいバージョンを有効にする
Not in save:;セーブデータにない:
Your active mods don't match the server's. Do you want to sync your mods with the server?;MODをサーバーと同期
The following mods aren't available on the mod portal: __1__;MODポータル上でこれらのMODが利用不可能です: __1__
Sync startup settings;スタートアップ設定を同期
Load save after sync;同期後にセーブを読み込み
Join server after sync;同期後にサーバに参加
__1__ __plural_for_parameter_1_{1=technology has|rest=technologies have}__ been omitted from this view.;__1__ 個のテクノロジーがこのビューから省略されています。
Technology tree;テクノロジーツリー
Press __CONTROL__open-technology-gui__ to start a new research.;__CONTROL__open-technology-gui__を押して、\n新しい研究を開始しましょう
__1__ finished. Press __CONTROL__open-technology-gui__.;__1__の研究が完了しました。__CONTROL__open-technology-gui__を押してください。
Main menu;メインメニュー
Game menu;ゲームメニュー
Continue __1__;__1__の続きを遊ぶ
Load game __1__;__1__を読み込む
Continue: Join __1__;__1__を続ける
Join __1__;__1__に参加
Continue: Host __1__;続ける: __1__をホスト
Host __1__;__1__をホスト
Single player;シングルプレイ
Multiplayer;マルチプレイ
Map editor;マップエディター
Everything not shown in the normal settings menus.;通常のメニューに表示されていない設定
Mods;MOD
The rest;その他
New game;ニューゲーム
Host new game;ニューゲームをホスト
Host saved game;セーブしたゲームをホスト
Browse public games;公開サーバーを閲覧
Browse LAN games;LANゲームを見る
Connect to address;アドレスに接続
Load game;ロード
Graphics;グラフィック
Sounds;サウンド
Controls;キーコンフィグ
Mod settings;MOD設定
Interface;インターフェース
Other;その他
Unpause game;ポーズを解除
Save game;セーブ
Save as scenario;シナリオとして保存
Quit game;タイトルに戻る
Reconnect;再接続
Show desync report;非同期レポートを表示
Copy desync report path;非同期レポートパスのコピー
Tutorial;チュートリアル
Quit tutorial;チュートリアルを終了
You desynchronized from the game.\nIf the problem persists, please report this problem in our bug report forum.;ゲームと同期がとれませんでした。\n解決しない場合は、この問題をバグレポートフォーラムへ報告してください。
You desynchronized from the game.\nThis was caused by a bug in the game or a bug in one of the mods or scenario scripts (if any are in use).\nIf you are not using mods, please report this problem in our bug report forum. Include details about what the players were doing, and upload the desync report.;ゲームと同期がとれませんでした。\nゲーム自体のバグか、（もし使用していれば）MODやシナリオのバグが原因です。\nMODを使用していなければ、この問題をバグレポートフォーラムへ報告してください。報告にはプレーヤーが行った行動を詳細に記述し、クラッシュログをアップロードしてください。
A desync report was created at: __1__;非同期レポートが次の場所に生成されました: __1__
A desync report was not created because report creation is disabled. Please enable it and report the desync if you want it to be fixed.;レポート作成が無効化されているため、非同期レポートは作成されませんでした。修正が必要な場合、有効化し非同期レポートを報告してください。
For more information about desyncs and how to report them, see:;非同期の問題とその報告手順については次を参照してください:
User login;ユーザーログイン
LAN username;LANユーザーネーム
This feature is not available when an Instrument Mode mod is enabled.;Instrument Mode MODが有効な場合、この機能は利用できません。
Release;リリース
Website;ウェブサイト
Forums;フォーラム
Created by;作成者
Save as;名前をつけて保存
Are you sure you want to overwrite __1__?;本当に__1__を上書きしますか？
Warning: The selected save has __1__ __plural_for_parameter_1_{1=hour|rest=hours}__ of playtime!;警告：選択したセーブデータは__1__時間プレイ済みです！
Please choose a different save name.\nAutosave files are reserved for autosaves and will be overwritten during future autosaves.;別の名前で保存してください。\nAutosaveはオートセーブのために予約されており、オートセーブ実行時に上書きされてしまいます。
Visibility;公開状態
Access;アクセス
Rights;権限
Save upload;保存して アップロード
Game saving;セーブ関連
Admins only;管理者のみ可
Verify that connecting players have a valid Factorio.com account and their player name matches their account name.;接続するプレイヤーが有効なFactorio.comアカウントを持ち、そのプレイヤー名がアカウント名と一致していることを確認してください.
Only admins can pause;管理者のみポーズ可能
AFK auto-kick;離席者の自動キック
Server name;サーバ名
Server password;サーバーパスワード
It is recommended to set a password if you want to play privately.;知り合い同士でプレイしたい場合はパスワードを設定することをお勧めします。
Description;説明
Show;表示
Public;公開
Steam;Steam
Enables or disables the "Join Game" feature through Steam.;Steam経由でゲームに参加する機能を有効/無効にします。
LAN;LAN
Ignore when returning;復帰プレイヤーは参加上限を無視
Players that have already played on this map can join the game even though the player limit has been reached.;このマップに参加したことのあるプレイヤーは、現在の人数が上限に達していてもゲームに復帰できます。
Max upload speed;最大アップロード速度
No limit;アップロード速度無制限
Maximum network speed dedicated to uploading the game to new players. Limiting it is useful to make sure there is enough upload speed left for players already in the game.;新しいプレイヤーにゲームをアップロードするためのネットワーク速度の最大値。これを制限することで、既存のプレイヤーへのデータアップロードに十分な帯域を確保することができます。
Maximum number of concurrent map uploads. Limiting it is useful to make sure there is enough upload speed left for players already in the game.;マップを並行してアップロードするスロット数の最大値。これを制限することで、既存のプレイヤーへのデータアップロードに十分な帯域を確保することができます。
Server name cannot be empty;サーバ名は空白にできません
Max. upload speed must be an integer;最大アップロード速度は整数でなければなりません
Max. upload slots must be an integer;最大アップロードスロットは整数でなければなりません
Max. player count must be an integer;最大プレイヤー数は整数でなければなりません
Enable non-blocking saving (Linux/macOS only);Non-blocking savingを有効にする (Linux/MacOSのみ)
Experimental feature which allows the server to save the map without pausing the game. Only works on Linux and macOS.;ゲームを一時停止せずに、サーバーがマップを保存することを許可する実験的な機能。LinuxとmacOSでのみ動作します。
__1__'s game;__1__のゲーム
Use authserver side bans;認証サーバー側のBAN情報を使用する
Verify that connecting players are not banned from multiplayer and inform Factorio.com about ban/unban commands.;接続しているプレイヤーがマルチプレイヤーからBANされていないことを確認し、BAN/UNBANコマンドについてFactorio.comに通知します。
Edit whitelist;ホワイトリストを編集
Edit banlist;Banリストを編集
Admin list;管理者リスト
Edit admin list;管理者リストを編集
Victory!;成功！
You have been defeated...;あなたは死にました...
Playtime;プレイ時間
Next level;次のレベル
Finish;終了
Restart level;やり直す
Save replay;リプレイをセーブ
Respawn;復活
The resolution of the sprites. Determines VRAM usage. Warning: "High" resolution requires at least 3 GB of VRAM.;スプライトの解像度です。VRAMの使用量を決定します。警告：「高」の設定は最低3GBのVRAMが必要です。
High;高
Low;低
Extra low;超低画質
Full screen;フルスクリーン
When running in borderless full screen, the game will minimize itself on focus loss to make sure it doesn't cover your desktop when you want to switch to a different application.;他のアプリを操作するためにフルスクリーン表示中のFactorioからフォーカスを外した場合、デスクトップを隠さないようにFactorioを最小化します。
When disabled, the number of smoke effects that are rendered will be greatly reduced. Disable to increase performance on low-end video cards.;無効の場合、レンダリングされる煙エフェクトの数が大幅に減少します。無効にするとローエンドのビデオカードを使用している場合はパフォーマンスが向上します。
Show clouds;雲を表示
Show inserter shadows;インサータの影を表示
Show decoratives;装飾を表示
Show particles;パーティクルを表示
Show item shadows;アイテムの影を表示
Disable to increase performance on low-end video cards.;無効にすると、ローエンドのビデオカードを使用している場合はパフォーマンスが向上します。
Preferred screen;優先画面
Multisampling;マルチサンプリング
No multisampling;マルチサンプリング無し
Multisampling x 2;マルチサンプリングX2
Multisampling x 4;マルチサンプリングX4
Multisampling x 6;マルチサンプリングX6
Multisampling x 8;マルチサンプリングX8
Brightness;輝度
Contrast;コントラスト
Saturation;彩度
Texture compression greatly increases number of sprites the game can fit to the video memory, and speeds up rendering due to GPU having to transfer less data during shading. If you have an old or integrated GPU, select low quality to reduce the size of sprites even more to get extra performance.;テクスチャ圧縮をすることで、より多くのスプライトをビデオメモリに置くことができ、GPUのデータ転送量も減るためレンダリングが速くなります。もしも古い、あるいは統合型のGPUを使用している場合、低品質を選ぶことでスプライトの容量を抑えてパフォーマンスを得ることができます。
High quality;高品質
Low quality;低品質
Wait for VSync;垂直同期（V-SYNC）
Determines how many sprites the game will try to put into sprite atlases. Creating larger sprite atlases reduces CPU usage due to the ability to batch draw calls, but may increase GPU load because the GPU has to work with larger textures. Free-floating sprites can be loaded into VRAM or kept in RAM (see Texture streaming setting).;スプライトをスプライトアトラスに配置する数を決定します。大きなスプライトアトラスを作ることで、GPUへの描画命令送信回数を減らしてCPU使用率を減らすことができますが、GPUが大きなテクスチャを扱うことになるためにGPU負荷が増大する可能性があります。スプライトアトラスに配置されなかったスプライトはVRAMに読み込まれるかRAMに残ります（テクスチャストリーミングの設定を参照）。
Medium;普通
Video memory budget;ビデオメモリ予想
__1__ GB;__1__ GB
Auto (__1__ GB);自動 (__1__ GB)
Primary screen (__1__);メイン画面 (__1__)
Screen __1__;スクリーン __1__
The number of threads used to render the game.;ゲームの描画に使用されるスレッドの数。
Sprites that were not put into any sprite atlas (see Video memory usage setting) will be kept in RAM until needed by the GPU.;スプライトアトラスに配置されなかったスプライト（ビデオメモリの使用量の設定を参照）を、GPUが必要とするまではRAMに残すようにします。
On high-DPI screens (for example, Apple Retina), rendering in the native resolution will produce a higher quality image but may be very demanding on performance.;高DPIスクリーン(AppleのRetinaディスプレイのような)では、ネイティブの解像度でレンダリングするとより高品質の画像が生成されますが、非常に高い性能が要求されます。
Flip presentation should be the more efficient method of presenting the final image on a screen than the older Blit model. Try toggling this option if you experience graphical glitches or framerate issues.;フリッププレゼンテーションモデルは、従来のブリットモデルより生成した画像を画面に表示する効率的な方法です。グラフィックの異常やフレームレートに問題があるといった際はこのオプションを切り替えてみてください。
If disabled, some animated or rotated entities (for example, trains) will load only half of the normal count of animation or rotation frames. This greatly reduces VRAM usage.;無効の場合、一部のアニメーションや回転をするエンティティ(列車など)は通常のアニメーションのうち半分のフレームだけを読み込みます。これはVRAMの使用量を大幅に低減します。
Rendering in only half (16-bit) color depth improves performance on low-end and integrated GPUs. This option only has an effect on Windows 8+ or in the OpenGL renderer.;ローエンドまたは統合型GPUの場合、ハーフカラー(色深度16bit) で描画をすることでパフォーマンスが向上します。このオプションはWindows8以降またはOpenGLで描画している場合のみ効果があります。
Larger atlases improve draw call batching, which reduces CPU load in rendering, but may be harder to handle for the GPU.;大きなスプライトアトラスは描画命令呼び出しを改善して描画に関するCPU使用率を低減しますが、GPUがアトラスを扱う際の負荷が大きくなります。
Largest possible;最大
Custom (__1__);カスタム(__1__)
Not enough video memory (VRAM).;ビデオメモリ (VRAM) が足りません。
We could not detect how much video memory (VRAM) is available on this computer. The recommended video memory size for high-quality sprites is at least 2 GB, otherwise you may experience performance issues, missing graphics, crashes, or the game may not be able to start at all.;このコンピュータで使用可能なビデオメモリ (VRAM) の容量を検出できませんでした。 高品質なスプライトのための推奨ビデオメモリ容量は最低2GBです。これを満たさない場合、パフォーマンスの問題やグラフィックの欠落やクラッシュを引き起こしたり、ゲームが一向に開始されない可能性があります。
We detected that this computer has __1__ MB of video memory (VRAM). That is too low for the high-quality sprites. You may experience performance issues, missing graphics, crashes, or the game may not be able to start at all. The recommended video memory size for high-quality sprites is at least 2 GB.;このコンピュータには __1__ MB のビデオメモリ (VRAM) が搭載されていますが、高品質なスプライトを描画するには十分ではありません。このためパフォーマンスの問題や描画の欠落、クラッシュ、ゲーム自体が開始できない可能性を引き起こす可能性があります。高品質なスプライトを描画するには 2GB 以上ビデオメモリを確保することが推奨されます。
General;基本設定
The game will be restarted to apply the new startup settings.;ゲームが新しいスタートアップ設定を適用するために再起動されます。
Color filter;カラーフィルター
Protanopia;第一色覚
Deuteranopia;第二色覚
Tritanopia;第三色覚
Protanopia correction;第一色盲補正
Deuteranopia correction;第二色盲補正
Tritanopia correction;第三色盲補正
Render scale;レンダリングスケール
Map zoomed-in effect;マップのズームイン効果
Show enemy terrain decals;敵の地形デカールを表示
Ultrawide mode;超広角モード
When in the main menu and sub menus, shows various game simulations in place of the background.;メインメニューとサブメニューで背景の代わりに様々なゲームデモが表示されます。
The resolution of the sprites. Lower resolution will reduce memory usage and loading time.;スプライトの解像度。解像度を下げるとメモリ使用量とロード時間が削減されます。
The rendering resolution of lights during the night. High values will greatly reduce performance.;夜間のライトのレンダリング解像度。高い値では、パフォーマンスが低下します。
The maximum size of video memory (VRAM) the game is allowed to use for textures (sprites).;ゲームがテクスチャ(スプライト)に利用できるビデオメモリ(VRAM)の最大量
Preferred output;優先出力
Default device;デフォルトデバイス
Master;マスター
GUI effects;GUIエフェクト
Game effects;ゲームエフェクト
Music;音楽
Walking sound;歩行音
Environment sounds;環境音
Alerts;警告音
Wind;風
Simulations;シミュレーション
Movement;移動
Basic interaction;基本の動作
Advanced interaction;高度な動作
Quickbar;クイックバー
Quick panel;クイックパネル
Miscellaneous;その他
Waiting;待機中
Disabled - changed by: __1__;無効 - __1__によって変更。
Controller settings;コントローラーの設定
Vibration intensity;バイブレーションの強度
Vehicle driving mode;車両運転モード
Moving the stick in a direction will make vehicles automatically turn and accelerate to that side of the screen.;スティックを動かすと、車両はその方向に自動的に回転し加速します。
Moving the stick up/down will make vehicles accelerate/brake.\nMoving the stick left/right will make vehicles turn in that direction.;スティックを上・下に動かすと、車両が加速・減速します。\nスティックを左右に動かすと、車両がその方向に回転します。
Startup;スタートアップ
Per player;個人設定
Yes*;はい
Reload;リロード
There are no settings to configure.;設定する項目はありません。
There are no startup settings.;スタートアップ設定がありません。
There are no map settings.;マップ設定がありません。
There are no per-user settings.;ユーザー毎の設定がありません。
Value cannot be empty.;値を空にすることはできません。
One or more settings are invalid.;無効な設定が含まれています。
Only admins can change these settings.;管理者のみ設定の変更が可能です。
Startup settings cannot be changed while a game is running.;スタートアップ設定はゲーム中には変更できません。
Changing startup settings will require a game restart.;スタートアップ設定の変更にはゲームの再起動が必要です。
Reset setting to default: __1__;デフォルト値に戻します: __1__
Setting has the default value.;デフォルト値に戻すは使用不可です
Show minimap;ミニマップを表示
Show turret radius when blueprinting;建設計画配置時にタレットの攻撃範囲を表示
Show player names on minimap;ミニマップにプレイヤー名を表示
Show inserter arrows when selected;カーソルを合わせたときにインサータの向きを表示
Play sound for chat messages;チャットメッセージのサウンドを再生する
More lenient matching for GUI searches.;GUI検索をより緩やかなマッチングにします。
When selecting a buildable item from the quickbar or when using the pipette tool, if you have no items of that type, a ghost will be placed in the cursor instead.;設置可能なアイテムをクイックバーやピペットツールを使って手に持とうとしたがそのアイテムを所持していなかった場合、アイテムを持つ代わりにアイテムのゴーストを持ちます。
Show items that weren't unlocked yet in the selection windows.;選択ウィンドウでまだアンロックされていないアイテムを表示します。
Lock belt building to straight line;ベルトの設置方向を固定する
1) Pressing __CONTROL__rotate__ while belt dragging will automatically turn the belt based on cursor position.\n2) Belt dragging over obstacles automatically builds underground belts.;1) ベルトのドラッグ中に __CONTROL__rotate__ を押すことで、カーソル位置に応じてベルトが自動的に回転します。\n2) 障害物を超えるようにベルトをドラッグすると自動的に地下搬送ベルトを設置します。
Clicking a quickbar slot with an item in the cursor will set the quickbar filter instead of picking the item in the slot.;アイテムを持ったままクイックバースロットをクリックすると、スロットのアイテムを手に持つ代わりにクイックバーフィルターが変更されます。
Selecting a quick panel slot with an item in the cursor will set the filter instead of picking the item in the slot.;アイテムを持ったままクイックパネルのスロットをクリックすると、スロットのアイテムを手に持つ代わりにフィルターが設定されます。
Show inserter arrows in "Alt-mode";Altモードでインサータの向きを表示
Show pump arrows in "Alt-mode";Altモードでポンプの向きを表示
Show mining drill arrows in "Alt-mode";Altモードで掘削機の向きを表示
Show combinator settings in "Alt-mode";Altモードで回路の設定を表示
